C�digo;CNPJ/CPF/CIE
1250;20.227.915/0007-37
1251;14.832.878/0001-06
1253;34.151.100/0017-06
1254;10.885.810/0001-26
1255;12.964.224/0001-00
1256;42.847.541/0001-08
1257;00.830.498/0001-10
1258;17.281.973/0003-00
1259;02.275.530/0001-78
1260;60.561.800/0041-09
1261;52.541.760/0001-00
7021859;32.074.565/0003-71
7021874;30.785.374/0001-20
7021886;36.232.725/0001-52
6989144;11.292.500/0001-60
1316;19.123.777/0001-71
1323;18.279.125/0001-68
1324;04.057.221/0001-57
1325;19.337.209/0001-73
1326;01.610.798/0001-56
1328;17.219.734/0001-69
1335;21.977.304/0001-83
1336;05.324.630/0001-35
17639;13.400.035/0002-40
17271;07.580.204/0002-79
17203;07.291.097/0001-88
1338;21.370.386/0001-01
1339;17.398.614/0001-76
1340;19.199.702/0001-74
1341;10.782.454/0002-04
1343;20.841.771/0020-81
1344;01.438.784/0021-40
14639;19.036.371/0001-51
1345;17.155.342/0005-07
1346;08.860.012/0001-06
1347;00.768.099/0001-76
1348;17.277.146/0001-81
1349;16.792.827/0001-15
1350;00.607.351/0001-65
1351;06.555.131/0001-11
13602;25.406.441/0001-19
1352;06.965.587/0001-50
1353;02.790.028/0001-03
1354;20.227.915/0003-03
1355;17.155.342/0010-74
1356;02.818.075/0001-00
1357;03.334.979/0003-94
1358;71.285.704/0001-04
1359;01.402.461/0001-53
1360;28.783.822/0001-05
1364;28.463.599/0001-19
1374;07.854.207/0001-72
1379;07.460.050/0001-09
6945993;22.644.512/0001-23
6939126;35.362.390/0001-24
1416;00.246.471/0001-84
5184;60.409.075/0505-08
1434;15.279.665/0003-15
1435;18.061.349/0001-07
1436;90.818.519/0001-74
4131;05.373.974/0001-34
1493;56.066.327/0001-10
1494;08.998.545/0001-40
1495;06.263.566/0001-92
1508;10.269.316/0001-37
1510;22.384.103/0001-35
1511;02.486.477/0001-54
1560;32.593.527/0001-63
1578;05.030.718/0001-44
1598;17.888.469/0001-01
1599;77.890.846/0056-42
1600;26.068.130/0002-30
1601;26.325.267/0001-42
1602;08.855.342/0001-03
1603;05.105.162/0001-08
1606;26.908.323/0001-71
1607;26.618.051/0001-75
1608;16.991.887/0001-67
1609;12.469.694/0001-90
1610;28.783.080/0001-18
1611;01.043.195/0001-10
1612;21.000.468/0003-18
1613;13.163.573/0001-88
1614;03.007.414/0001-30
1615;05.997.679/0001-59
1616;70.943.238/0002-17
1617;82.184.821/0001-90
1618;00.226.384/0005-99
1619;00.281.901/0003-60
1620;13.481.309/0195-35
1621;14.049.467/0056-04
1622;27.017.224/0001-62
1623;07.170.938/0015-02
1624;12.056.894/0001-10
1625;12.577.782/0001-05
1660;25.706.318/0001-13
1661;65.842.726/0001-17
1662;03.098.929/0003-55
1663;07.124.323/0001-36
1664;57.008.138/0001-54
1665;07.987.672/0001-81
1666;20.292.993/0001-20
1667;07.743.406/0001-03
1670;17.599.747/0001-00
1683;18.214.387/0001-44
1685;06.373.015/0001-81
1686;08.731.017/0001-20
1688;39.826.854/0001-67
1691;17.155.342/0003-45
1693;03.944.803/0001-92
1695;28.152.684/0003-28
1700;21.331.404/0001-38
1701;73.182.214/0001-08
1702;08.839.460/0001-10
1710;07.273.114/0001-54
1711;00.512.528/0001-40
1715;18.720.938/0001-41
1716;26.726.459/0001-60
1717;29.070.640/0001-50
1718;26.017.950/0001-12
1719;28.662.981/0001-51
18984;05.783.504/0001-49
1722;41.771.643/0001-16
1724;03.096.444/0001-60
1725;17.086.101/0001-20
1726;11.273.640/0001-91
1727;04.628.426/0001-45
1728;01.754.140/0001-18
1729;07.642.769/0001-52
1730;29.165.218/0001-88
1731;01.724.535/0001-78
6985927;20.222.360/0001-45
6980737;05.455.435/0001-44
9562;28.146.766/0001-06
6921547;06.039.070/0001-30
6916408;02.165.292/0001-48
1789;04.021.744/0001-43
1796;04.464.606/0001-39
1797;03.316.542/0001-66
1798;33.009.911/0001-39
1810;09.509.549/0001-80
56960;32.213.724/0001-00
1811;07.947.408/0001-14
1812;37.977.691/0007-83
1813;10.653.254/0001-62
1814;28.309.896/0001-04
1818;06.100.638/0001-80
1819;39.181.334/0001-44
1820;21.000.468/0001-56
1821;26.873.446/0001-14
1822;26.341.222/0002-42
1832;01.654.749/0001-15
1852;16.642.662/0004-48
1853;21.467.533/0001-58
1854;16.843.153/0001-30
1855;28.481.219/0003-30
1856;01.704.488/0001-09
1857;10.736.565/0001-95
1859;82.923.160/0001-77
1860;00.457.701/0009-01
1861;07.038.535/0012-53
1913;10.760.260/0001-19
1920;11.460.271/0001-46
16978;08.724.785/0001-57
1951;06.922.950/0001-50
1952;26.645.318/0001-13
1953;10.215.988/0016-46
1954;02.675.085/0001-33
1955;18.746.164/0001-28
1956;18.715.532/0001-70
1957;04.487.496/0001-20
1958;23.070.071/0001-66
1963;23.942.915/0001-11
1964;19.895.952/0001-49
1965;17.742.033/0001-00
1966;23.484.024/0001-69
1967;16.947.571/0001-78
1968;01.473.781/0001-02
7022045;23.423.596/0001-38
7022075;16.585.597/0001-13
7022076;20.076.262/0001-47
7022078;50.968.326/0001-85
7022081;20.004.575/0001-90
7022082;13.581.809/0001-04
7022086;89.252.431/0001-59
7022089;25.369.828/0001-42
7022157;31.812.775/0001-95
1969;09.595.965/0001-49
1970;01.655.351/0001-01
1971;33.654.419/0008-92
7013230;47.519.387/0001-50
1972;19.158.435/0001-97
9610;81.792.806/0001-61
1973;20.286.415/0001-80
1974;28.414.415/0001-20
1975;62.398.367/0001-62
1976;07.073.027/0005-87
1977;07.073.027/0010-44
1978;19.583.823/0001-15
1979;22.390.751/0001-02
1980;03.208.356/0001-03
1981;16.902.219/0001-16
1982;23.066.756/0001-39
1983;03.439.607/0002-41
1984;05.372.204/0001-77
1985;23.324.827/0001-56
1986;42.950.501/0001-89
1988;20.258.849/0001-77
1989;58.069.360/0001-20
1990;01.760.242/0001-46
1991;57.334.237/0011-06
1993;02.501.297/0001-02
1995;20.861.244/0002-57
1996;01.740.432/0016-88
50726;72.473.291/0001-46
1997;03.598.050/0001-00
1998;03.979.987/0001-26
1999;04.700.342/0002-56
2000;04.737.552/0004-80
2001;04.860.747/0002-51
2002;05.139.469/0001-20
2003;06.249.941/0001-40
2004;12.057.585/0001-65
2081;03.321.110/0001-43
2082;04.504.505/0001-44
2083;07.571.746/0038-96
2084;10.221.140/0001-43
2085;10.753.289/0001-73
2086;17.359.233/0001-88
2087;17.699.760/0001-31
2088;20.522.814/0001-01
2089;27.935.083/0001-67
2090;42.969.121/0001-96
2091;45.987.005/0176-78
2092;55.176.358/0003-23
2093;65.993.453/0037-12
2094;97.550.011/0001-87
2095;07.395.207/0001-51
2096;07.571.746/0008-70
2098;28.953.242/0001-19
2097;17.252.776/0001-00
2099;16.772.642/0001-49
2100;08.875.763/0007-83
2101;07.110.640/0001-01
2102;05.787.907/0001-66
2103;07.162.028/0004-17
2104;00.376.172/0001-64
